sector,revenue_million,revenue_growth_rate,burn_rate_million,runway_months,funding_rounds,team_size,founder_experience_years,has_technical_cofounder,product_traction_users,customer_growth_rate,enterprise_customers,market_size_billion,business_model,geography,investor_type,founder_background,outcome
Other,0.0,,5.0,0.0,0,275,3,0,196676,,78,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,111,12,1,78519,,31,100,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,4.0,120.0,10.0,3.6,1,154,8,1,116170,115.0,81,250,Subscription,North America,tier1_vc,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,196,1,1,174315,,69,100,Subscription,Other,none,first_time,Failure
Other,0.0,120.0,0.0,0.0,1,165,24,1,130683,80.0,52,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,96,8,0,100741,,40,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,206,11,0,72068,,28,100,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,212,12,1,24400,,9,100,Subscription,North America,none,ex_bigtech,Acquisition
Other,60.75,57.2,16.55,12.0,7,284,18,1,1007629,75.0,403,100,Subscription,North America,tier1_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,45,10,1,102730,,41,100,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,120.0,0.0,0.0,1,19,19,1,69291,115.3,48,250,Subscription,North America,none,ex_bigtech,Failure
SaaS,0.0,120.0,0.0,0.0,1,133,10,1,155486,125.0,108,250,Subscription,North America,tier2_vc,first_time,Failure
Other,1.5,120.0,6.0,3.6,1,293,21,1,83047,128.1,33,100,Subscription,North America,tier2_vc,academic,Acquisition
Other,0.0,,5.0,0.0,0,265,16,0,197640,,79,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,37,9,1,160658,,64,100,Subscription,North America,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,19,1,0,68740,,48,250,Subscription,North America,none,academic,Acquisition
SaaS,8.4,32.8,1.44,10.0,4,67,11,1,359788,70.1,251,250,Subscription,North America,tier2_vc,academic,IPO
Other,0.0,,5.0,0.0,0,235,18,0,58111,,23,100,Subscription,North America,none,academic,Acquisition
SaaS,0.08,120.0,0.2,0.6,1,33,24,0,181144,111.1,126,250,Subscription,North America,none,ex_bigtech,Failure
